0	1.004	0.975	0.979	1.105
1	1.004	0.975	0.980	1.110
2	1.005	0.976	0.980	1.115
3	1.005	0.977	0.982	1.121
4	1.005	0.976	0.983	1.128
5	1.004	0.976	0.984	1.133
6	1.005	0.977	0.986	1.139
7	1.005	0.977	0.986	1.145
8	1.005	0.976	0.988	1.151
9	1.005	0.977	0.989	1.156
10	1.005	0.978	0.992	1.159
11	1.005	0.978	0.993	1.163
12	1.005	0.978	0.994	1.165
13	1.005	0.978	0.997	1.164
14	1.006	0.979	1.000	1.158
15	1.005	0.979	1.003	1.153
16	1.006	0.980	1.006	1.142
17	1.006	0.980	1.009	1.127
18	1.006	0.980	1.013	1.109
19	1.006	0.981	1.016	1.087
20	1.007	0.982	1.021	1.064
21	1.006	0.983	1.025	1.038
22	1.007	0.983	1.031	1.014
23	1.007	0.984	1.037	0.990
24	1.007	0.985	1.042	0.969
25	1.007	0.986	1.048	0.950
26	1.007	0.987	1.055	0.938
27	1.008	0.989	1.061	0.927
28	1.008	0.989	1.068	0.922
29	1.008	0.991	1.076	0.919
30	1.009	0.992	1.081	0.919
31	1.008	0.994	1.088	0.921
32	1.009	0.996	1.093	0.924
33	1.009	0.998	1.095	0.930
34	1.009	1.000	1.097	0.937
35	1.010	1.003	1.095	0.943
36	1.010	1.005	1.089	0.950
37	1.011	1.008	1.081	0.956
38	1.011	1.012	1.067	0.963
39	1.012	1.016	1.048	0.969
40	1.012	1.019	1.026	0.976
41	1.013	1.023	1.000	0.980
42	1.014	1.028	0.974	0.986
43	1.014	1.033	0.945	0.991
44	1.015	1.040	0.919	0.996
45	1.016	1.046	0.895	0.999
46	1.017	1.054	0.875	1.003
47	1.019	1.059	0.860	1.007
48	1.019	1.067	0.849	1.010
49	1.021	1.075	0.842	1.013
50	1.023	1.082	0.839	1.016
51	1.025	1.091	0.840	1.018
52	1.026	1.097	0.842	1.020
53	1.028	1.104	0.846	1.022
54	1.031	1.110	0.851	1.024
55	1.033	1.112	0.858	1.025
56	1.035	1.112	0.864	1.027
57	1.039	1.109	0.871	1.028
58	1.041	1.102	0.878	1.030
59	1.044	1.090	0.885	1.031
60	1.049	1.073	0.892	1.032
61	1.053	1.050	0.899	1.033
62	1.057	1.023	0.904	1.033
63	1.063	0.993	0.909	1.035
64	1.068	0.964	0.914	1.035
65	1.075	0.933	0.918	1.036
66	1.080	0.907	0.923	1.037
67	1.087	0.883	0.927	1.037
68	1.094	0.864	0.931	1.038
69	1.102	0.852	0.933	1.038
70	1.110	0.843	0.938	1.039
71	1.118	0.839	0.940	1.039
72	1.125	0.838	0.942	1.040
73	1.133	0.840	0.943	1.038
74	1.138	0.845	0.947	1.040
75	1.143	0.850	0.948	1.040
76	1.146	0.857	0.949	1.040
77	1.144	0.864	0.951	1.041
78	1.141	0.872	0.953	1.042
79	1.132	0.878	0.954	1.042
80	1.118	0.884	0.955	1.041
81	1.098	0.892	0.956	1.042
82	1.073	0.899	0.957	1.043
83	1.044	0.904	0.958	1.043
84	1.012	0.911	0.959	1.043
85	0.980	0.915	0.959	1.042
86	0.950	0.921	0.960	1.043
87	0.923	0.925	0.961	1.042
88	0.900	0.928	0.961	1.043
89	0.883	0.933	0.961	1.043
90	0.870	0.936	0.962	1.043
91	0.863	0.939	0.963	1.043
92	0.860	0.941	0.963	1.043
93	0.861	0.944	0.963	1.044
94	0.864	0.946	0.964	1.044
95	0.869	0.949	0.964	1.043
96	0.876	0.951	0.964	1.043
97	0.884	0.953	0.965	1.043
98	0.892	0.954	0.964	1.043
99	0.900	0.956	0.965	1.043
100	0.908	0.957	0.966	1.044
101	0.916	0.958	0.966	1.044
102	0.922	0.959	0.965	1.044
103	0.929	0.960	0.966	1.044
104	0.936	0.961	0.967	1.044
105	0.942	0.962	0.966	1.044
106	0.946	0.962	0.966	1.043
107	0.952	0.963	0.967	1.043
108	0.956	0.964	0.967	1.043
109	0.960	0.964	0.966	1.043
110	0.964	0.965	0.966	1.044